Latitudine,Longitudine,Categorie
44.152764,28.5404643,fortificatie
44.1548847,28.0082928,tumul
44.1560335,28.5515928,anomalie necunoscuta
44.1569208,28.5666271,anomalie necunoscuta
44.1630539,28.3257855,anomalie necunoscuta
44.1648007,28.5517201,anomalie necunoscuta
44.1654062,27.7500248,castru
44.1666737,28.5366609,locuinta
44.1668583,28.4286476,tumul
44.1671402,27.9552801,locuinta
44.1691272,27.5415018,fortificatie
44.1700515,28.5235787,fortificatie
44.170648,28.0125169,tumul
44.1708197,28.4378284,fortificatie
44.17452,28.1208462,tumul
44.1746336,28.5028834,anomalie necunoscuta
44.1751197,28.4955763,fortificatie
44.177053,27.5789612,fortificatie
44.1794795,28.4580891,anomalie necunoscuta
44.1812964,28.514644,fortificatie
44.183657,28.4095807,fortificatie
44.1868844,28.5657123,tumul
44.1872056,27.9957067,tumul
44.1901594,28.549547,anomalie necunoscuta
44.1934378,28.4744059,anomalie necunoscuta
44.1936624,28.0752168,anomalie necunoscuta
44.1983536,28.4331265,fortificatie
44.1998309,28.2903294,anomalie necunoscuta
44.2045754,28.4223389,fortificatie
44.206374,28.4233318,anomalie necunoscuta
44.2073551,28.4021829,val
44.2083123,27.8552512,fortificatie
44.2089333,28.433912,tumul
44.2112347,27.7590015,val
44.2163491,27.8875076,fortificatie
44.222013,28.345026,tumul
44.2231795,27.8852132,fortificatie
44.2235794,28.4436369,tumul
44.2269832,28.3131052,anomalie necunoscuta
44.2272745,27.9972878,val
44.2273643,28.1524332,tumul
44.2273686,28.4015201,anomalie necunoscuta
44.2277733,28.0205621,locuinta
44.2284915,28.1640605,tumul
44.2285783,28.1302818,tumul
44.2296773,28.1086901,anomalie necunoscuta
44.231596,27.8369424,tumul
44.2344124,28.1597846,tumul
44.2347311,27.9073399,fortificatie
44.2353413,28.3415888,castru
44.2356698,27.9135465,fortificatie
44.2363775,28.3357674,castru
44.2400152,27.8487963,fortificatie
44.2406182,27.8591948,castru
44.2407847,28.0246464,fortificatie
44.2411133,27.8539584,fortificatie
44.2454982,28.3379329,tumul
44.2462902,28.5752748,fortificatie
44.2485448,28.252476,anomalie necunoscuta
44.2527643,28.0106376,locuinta
44.2540283,28.0677178,tumul
44.257341,28.162753,val
44.2591547,28.093295,fortificatie
44.2594647,28.117569,fortificatie
44.2673519,28.0739204,fortificatie
44.2686808,28.0800793,fortificatie
44.2686868,28.039072,castru
44.2796346,28.0028897,castru
44.2874383,27.9901633,fortificatie
44.2927022,28.2316207,locuinta
44.4661239,28.7056147,tumul
44.5472836,28.7721989,anomalie necunoscuta
44.959555,28.6428361,burgus
44.972285,28.6820217,tumul
44.9725504,28.6487177,tumul
44.9763604,28.6620381,tumul
44.9774474,28.6493621,tumul
44.9799246,29.1544273,fortificatie
44.9803112,28.145208,burgus
44.9837601,28.6774083,tumul
44.9897731,28.7275773,tumul
44.9906894,28.1746491,tumul
44.9909463,28.7821957,tumul
44.9938934,28.1413525,anomalie necunoscuta
44.9944032,28.1572931,tumul
44.9995394,28.2505687,tumul
45.0003504,28.7642942,tumul
45.0022979,28.2102076,tumul
45.0096325,28.8661665,tumul
45.011856,29.1055382,tumul
45.0132939,28.874165,tumul
45.0156969,28.2156965,tumul
45.0174058,29.1964803,tumul
45.0174495,29.1568801,tumul
45.0210311,28.711317,tumul
45.0213379,28.3892379,tumul
45.02198,28.90034,tumul
45.0229597,28.6566388,tumul
45.023355,28.7233917,tumul
45.0235461,29.1546485,anomalie necunoscuta
45.0244186,29.1978877,fortificatie
45.0313632,28.9776137,tumul
45.0320919,29.049586,anomalie necunoscuta
45.0323242,28.8907191,tumul
45.03575,28.97049,tumul
45.0367763,29.1055264,tumul
45.0462247,29.119291,tumul
45.0472908,28.2321464,tumul
45.0516169,28.8034807,tumul
45.0524825,29.0401904,tumul
45.0546286,28.4600471,tumul
45.0553944,28.8513832,tumul
45.0687042,29.0697145,tumul
45.0755246,28.3105239,anomalie necunoscuta
45.0775254,29.0465768,tumul
45.0804657,28.2084395,tumul
45.0815287,28.9962667,tumul
45.0850453,28.5806208,anomalie necunoscuta
45.0860921,29.0346442,tumul
45.0867537,28.6704325,tumul
45.0877934,28.311377,anomalie necunoscuta
45.0899579,29.0382993,anomalie necunoscuta
45.0901047,28.9856362,tumul
45.1007948,29.0666409,fortificatie
45.1028531,29.0466593,val
45.1089639,29.0329523,anomalie necunoscuta
45.1152869,28.219749,tumul
45.1440218,28.1909484,fortificatie
45.1509621,28.2016639,tumul
45.1589794,28.5841901,locuinta
45.1663956,28.2177064,tumul
45.1733405,28.5692635,locuinta
45.1743773,27.8729659,fortificatie
45.1819622,28.1643656,fortificatie
45.1850726,27.8645926,fortificatie
45.1862628,28.8148072,fortificatie
45.1886479,28.2571524,fortificatie
45.2035126,27.8200269,fortificatie
45.2059629,27.82057,locuinta
45.2280454,27.8483891,fortificatie
45.2287443,28.4284508,tumul
45.2298705,27.8515274,fortificatie
45.2303474,28.1594879,tumul
45.2324468,27.8486404,val
